all_l_oks_rtree_10_dy_DAT1,all_l_oks_rtree_10_mt_DAT1,all_l_oks_rtree_5_dy_DAT1,all_l_oks_rtree_5_mt_DAT1,cpy_int_med_imp_dy_DAT1,cpy_int_med_imp_LC,cpy_int_med_imp_MFR_S205,cpy_int_med_imp_MFR_S206,cpy_int_med_imp_MFR_S411,cpy_int_med_imp_mt_DAT1,cpy_int_med_imp_qt_DAT1,cpy_int_med_imp_wk_DAT1,DATETIME,dy_DAT1,EM_PREDICTION,hs_bc_0_LC,hs_bc_p1_LC,hs_bc_p2_LC,hs_rtree_disct10_LC,hs_rtree_disct5_LC,LC,MFR_S205,MFR_S206,MFR_S411,mt_DAT1,nhoks_nloks_log_qt_DAT1,nhoks_nloks_pow_n0_5_qt_DAT1,nhoks_nloks_pow_p0_5_qt_DAT1,nhoks_nloks_pow_p1_qt_DAT1,nhoks_nloks_pow_p2_qt_DAT1,nhoks_nloks_rtree_10_qt_DAT1,nhoks_nloks_rtree_5_qt_DAT1,P_Gamma2,qt_DAT1,wk_DAT1,yr_DAT1,_WARN_,sample_id,sample_point_id,datetime_char,NNI,Gamma2,_dmIndex_,_PartInd_,Error,,
5,1,1,1,19,107,116.574,0.662,0.366,1,1,1,1895043600,19,441.3285489,3.610917913,36,684,5,4,107,116.574,0.662,0.366,1,0,1,1,1,1,1,1,441.3285489,1,1,2020,,2001028410,H12-S0411,19JAN20:09:00:00,74,440,1000028,1,0.301942925,,
5,1,1,1,19,106,120.925,0.687,0.384,1,1,1,1895086800,19,446.1115068,3.583518939,35,647.5,5,4,106,120.925,0.687,0.384,1,0,1,1,1,1,1,1,446.1115068,1,1,2020,,2001028959,H12-S0411,19JAN20:21:00:00,74,450,1000029,0,0.864109596,,
6,1,2,1,20,106,129.661,0.646,0.359,1,1,2,1895130000,20,450.6885688,3.583518939,35,647.5,5,4,106,129.661,0.646,0.359,1,0,1,1,1,1,1,1,450.6885688,1,2,2020,,2001029922,H12-S0411,20JAN20:09:00:00,74,460,1000030,1,2.024224178,,
6,1,2,1,20,108,37.471,0.252,0.151,1,1,2,1895173200,20,142.83278,3.63758616,37,721.5,6,4,108,37.471,0.252,0.151,1,0,1,1,1,1,1,1,142.83278,1,2,2020,,2001030680,H12-S0411,20JAN20:21:00:00,58,140,1000031,1,2.023414279,,
6,1,2,1,21,108,35.739,0.257,0.177,1,1,3,1895216400,21,222.7562215,3.63758616,37,721.5,6,4,108,35.739,0.257,0.177,1,0,1,1,1,1,1,1,222.7562215,1,3,2020,,2001031553,H12-S0411,21JAN20:09:00:00,56,155,1000032,0,43.71369128,,
6,1,2,1,21,107,34.96,0.232,0.157,1,1,3,1895259600,21,140.2367679,3.610917913,36,684,5,4,107,34.96,0.232,0.157,1,0,1,1,1,1,1,1,140.2367679,1,3,2020,,2001032239,H12-S0411,21JAN20:21:00:00,57,145,1000033,0,3.284987641,,
7,1,2,1,22,108,36.513,0.236,0.159,1,1,4,1895302800,22,142.83278,3.63758616,37,721.5,6,4,108,36.513,0.236,0.159,1,0,1,1,1,1,1,1,142.83278,1,4,2020,,2001033273,H12-S0411,22JAN20:09:00:00,57,150,1000034,1,4.778146673,,
7,1,2,1,22,107,36.387,0.257,0.165,1,1,4,1895346000,22,168.619476,3.610917913,36,684,5,4,107,36.387,0.257,0.165,1,0,1,1,1,1,1,1,168.619476,1,4,2020,,2001033961,H12-S0411,22JAN20:21:00:00,57,150,1000035,1,12.41298399,,
7,1,2,1,23,92,739.935,0.072468,0.052074,1,1,5,1895403600,23,169.4200925,3.091042453,21,241.5,5,4,92,739.935,0.072468,0.052074,1,0,1,1,1,1,1,1,169.4200925,1,5,2020,,2001034845,H12-S0411,23JAN20:13:00:00,145,170,1000036,0,0.341122047,,
7,1,2,1,23,91,762.1362,0.07722,0.046134,1,1,5,1895432400,23,156.2459942,3.044522438,20,220,5,4,91,762.1362,0.07722,0.046134,1,0,1,1,1,1,1,1,156.2459942,1,5,2020,,2001035435,H12-S0411,23JAN20:21:00:00,160,165,1000037,0,5.305458085,,
